PLAYER_ID,HEIGHT,WEIGHT,POSITION
78307,76,210,Guard
78306,78,215,Guard
78308,77,195,Guard
1891,74,185,Guard
201934,87,263,Center
78309,74,170,Guard
1628464,80,243,Forward
78310,78,190,Guard
78311,79,210,Forward
78312,78,215,Forward
78313,73,160,Guard
78314,79,195,Forward
203519,79,240,Guard-Forward
2873,77,220,Guard
1063,76,195,Guard
78316,75,175,Guard
2041,82,260,Center
78317,80,225,Forward
202738,69,185,Guard
78318,73,180,Guard
1975,78,219,Forward
78320,75,190,Guard
78321,78,205,Forward
1519,81,265,Center
1629017,75,210,Guard
202498,80,240,Forward
78322,80,220,Forward
1501,82,240,Forward
202717,82,245,Forward
78323,78,210,Guard
1631,79,195,Forward
78325,80,225,Forward
78326,76,195,Guard
78327,74,200,Guard
201574,83,250,Forward-Center
78328,82,225,Forward
78329,83,260,Center
202691,79,215,Guard
78331,82,226,Center
78332,78,210,Guard
78333,76,185,Forward
202684,82,238,Center-Forward
78335,76,195,Guard
201154,80,235,Forward
738,82,225,Forward
1628414,77,215,Guard
901,82,248,Center-Forward
9,74,185,Guard
600001,83,225,Center
78340,72,175,Guard
78341,73,190,Guard
78342,72,185,Guard
78343,83,215,Center
78344,76,205,Forward
47,81,260,Forward
78346,77,220,Forward
78348,81,225,Forward
78347,79,235,Forward
201229,80,250,Forward
78349,80,190,Forward
78350,80,218,Forward
78351,75,178,Guard
78352,74,178,Guard
78353,73,185,Guard
342,78,210,Forward
78355,78,215,Center
78356,81,210,Forward
78357,73,192,Forward
78358,80,230,Center
2351,78,210,Guard-Forward
78359,73,175,Guard
78360,72,185,Guard
1626253,79,210,Guard-Forward
78361,67,150,Guard
78363,76,210,Center
78364,79,190,Forward
1626157,84,248,Center
78365,75,175,Guard
78366,80,205,Forward
78367,79,210,Forward
1714,80,284,Forward-Center
718,80,250,Forward
1629018,78,205,Guard
2244,76,200,Guard
78651,79,215,Forward
1629019,77,200,Guard
78368,72,170,Guard
78369,78,220,Forward
2456,86,240,Center
2054,86,290,Center
78370,78,206,Forward
78371,77,190,Forward
2401,84,225,Forward
78372,80,190,Forward
141,80,220,Forward
